edad,ccaa,tiene_seguro,marca_seguro,satisfaccion,top_of_mind,atributo_clave,barrera,canal_contratacion,buyer_persona,precio_max_mensual
45-54,País Vasco,Si,Sanitas,3.4,DKV,Atención personalizada,Precio demasiado alto,Comparador online,Ejecutivo Exigente,60
35-44,Aragón,Si,Asisa,2.5,No sé,Precio asequible,No lo necesito,Empresa / colectivo,Joven Saludable,45
55+,Canarias,Si,Sanitas,3.4,Sanitas,Sin copagos,Mala experiencia previa,Agente / corredor,Familiar Tradicional,80
45-54,Andalucía,Si,Adeslas,4.4,Sanitas,Tiempo de espera corto,Desconfianza en privado,Empresa / colectivo,Joven Saludable,35
18-24,Andalucía,No,Sin seguro,,Mapfre,Red médica amplia,Precio demasiado alto,Agente / corredor,Joven Saludable,45
55+,Galicia,Si,DKV,4.9,Asisa,Cobertura dental,Precio demasiado alto,Comparador online,Joven Saludable,35
45-54,Cataluña,No,Sin seguro,,DKV,Precio asequible,Mala experiencia previa,Empresa / colectivo,Ejecutivo Exigente,45
45-54,Castilla y León,Si,Asisa,3.4,Sanitas,Red médica amplia,Mala experiencia previa,Agente / corredor,Senior Dependiente,35
25-34,Andalucía,No,Sin seguro,,Adeslas,Red médica amplia,Ya tengo Seg. Social,Agente / corredor,Joven Saludable,35
35-44,Madrid,Si,Mapfre Salud,2.2,DKV,App / gestión digital,No lo necesito,Comparador online,Familiar Tradicional,60
35-44,Madrid,No,Sin seguro,,Adeslas,Red médica amplia,Ya tengo Seg. Social,Web del asegurador,Preventivo Digital,35
55+,Castilla y León,Si,Sanitas,3.6,Adeslas,Precio asequible,Ya tengo Seg. Social,Comparador online,Joven Saludable,35
45-54,Madrid,Si,Adeslas,3.0,Asisa,Red médica amplia,Precio demasiado alto,Comparador online,Preventivo Digital,100
55+,Cataluña,No,Sin seguro,,DKV,Precio asequible,Precio demasiado alto,Empresa / colectivo,Preventivo Digital,25
35-44,Cataluña,Si,DKV,3.6,AXA,Precio asequible,Precio demasiado alto,Agente / corredor,Preventivo Digital,60
25-34,Madrid,Si,Sanitas,3.9,Sanitas,Tiempo de espera corto,Desconfianza en privado,Empresa / colectivo,Senior Dependiente,45
35-44,Cataluña,No,Sin seguro,,Adeslas,Red médica amplia,Precio demasiado alto,Banco / caja,Joven Saludable,35
18-24,Galicia,No,Sin seguro,,No sé,Red médica amplia,Precio demasiado alto,Agente / corredor,Familiar Tradicional,45
55+,Madrid,Si,DKV,4.9,Adeslas,Tiempo de espera corto,Ya tengo Seg. Social,Web del asegurador,Joven Saludable,35
45-54,Castilla y León,Si,DKV,4.6,Adeslas,Precio asequible,Precio demasiado alto,Agente / corredor,Senior Dependiente,60
45-54,Murcia,No,Sin seguro,,Sanitas,Tiempo de espera corto,Precio demasiado alto,Web del asegurador,Ejecutivo Exigente,35
35-44,Cataluña,No,Sin seguro,,Asisa,Red médica amplia,Ya tengo Seg. Social,Empresa / colectivo,Senior Dependiente,35
55+,Madrid,No,Sin seguro,,AXA,Red médica amplia,Precio demasiado alto,Web del asegurador,Familiar Tradicional,45
55+,C. Valenciana,Si,DKV,3.7,DKV,Red médica amplia,No lo necesito,Empresa / colectivo,Ejecutivo Exigente,100
45-54,Madrid,No,Sin seguro,,DKV,Precio asequible,Trámites complicados,Web del asegurador,Ejecutivo Exigente,80
25-34,Cataluña,Si,Sanitas,4.1,Adeslas,Precio asequible,Precio demasiado alto,Agente / corredor,Ejecutivo Exigente,100
35-44,Baleares,No,Sin seguro,,Sanitas,Atención personalizada,Trámites complicados,Agente / corredor,Familiar Tradicional,60
18-24,Otros,Si,DKV,3.3,Sanitas,Precio asequible,Trámites complicados,Comparador online,Familiar Tradicional,60
25-34,Galicia,No,Sin seguro,,Adeslas,Tiempo de espera corto,Desconfianza en privado,Empresa / colectivo,Senior Dependiente,45
45-54,Cataluña,Si,Asisa,2.4,Sanitas,Tiempo de espera corto,No lo necesito,Web del asegurador,Ejecutivo Exigente,100
45-54,País Vasco,Si,Adeslas,2.5,Sanitas,Red médica amplia,No lo necesito,Comparador online,Familiar Tradicional,45
55+,País Vasco,No,Sin seguro,,Adeslas,Tiempo de espera corto,No lo necesito,Agente / corredor,Familiar Tradicional,45
25-34,Cataluña,Si,Asisa,3.5,Asisa,Precio asequible,No lo necesito,Agente / corredor,Ejecutivo Exigente,60
35-44,C. Valenciana,No,Sin seguro,,DKV,Precio asequible,Precio demasiado alto,Agente / corredor,Familiar Tradicional,45
35-44,Madrid,Si,Adeslas,4.0,Adeslas,Red médica amplia,Mala experiencia previa,Banco / caja,Joven Saludable,35
25-34,Madrid,No,Sin seguro,,Sanitas,App / gestión digital,Ya tengo Seg. Social,Empresa / colectivo,Senior Dependiente,45
25-34,Andalucía,Si,Sanitas,4.2,Mapfre,Sin copagos,Desconfianza en privado,Empresa / colectivo,Familiar Tradicional,45
35-44,Madrid,Si,Adeslas,2.9,DKV,Red médica amplia,Precio demasiado alto,Agente / corredor,Joven Saludable,80
25-34,Madrid,Si,Adeslas,2.2,Mapfre,Tiempo de espera corto,Precio demasiado alto,Agente / corredor,Familiar Tradicional,45
45-54,Castilla y León,Si,Adeslas,2.9,Sanitas,App / gestión digital,Ya tengo Seg. Social,Empresa / colectivo,Familiar Tradicional,80
35-44,Asturias,Si,Adeslas,2.9,Mapfre,Precio asequible,Ya tengo Seg. Social,Web del asegurador,Senior Dependiente,45
55+,Andalucía,No,Sin seguro,,Adeslas,App / gestión digital,Ya tengo Seg. Social,Comparador online,Joven Saludable,60
45-54,Castilla y León,No,Sin seguro,,Sanitas,Tiempo de espera corto,Precio demasiado alto,Comparador online,Senior Dependiente,35
25-34,Otros,No,Sin seguro,,Adeslas,Cobertura dental,Precio demasiado alto,Web del asegurador,Familiar Tradicional,100
55+,Madrid,Si,Asisa,3.3,Sanitas,Reputación de marca,Ya tengo Seg. Social,Empresa / colectivo,Familiar Tradicional,45
45-54,Andalucía,Si,Asisa,3.3,Sanitas,Red médica amplia,Precio demasiado alto,Banco / caja,Ejecutivo Exigente,35
35-44,Cataluña,Si,DKV,4.0,Adeslas,Precio asequible,Mala experiencia previa,Web del asegurador,Ejecutivo Exigente,35
25-34,Madrid,No,Sin seguro,,DKV,Tiempo de espera corto,Precio demasiado alto,Empresa / colectivo,Preventivo Digital,35
