marca,red,seguidores,engagement_pct,posts_mes
Sanitas,Instagram,185000,0.9,22
Sanitas,LinkedIn,210000,1.2,18
Adeslas,Instagram,142000,1.1,25
Adeslas,LinkedIn,168000,1.0,20
Asisa,Instagram,68000,0.8,15
Asisa,LinkedIn,95000,1.4,22
DKV,Instagram,95000,3.8,35
DKV,LinkedIn,112000,2.1,28
Mapfre Salud,Instagram,78000,0.7,12
Mapfre Salud,LinkedIn,95000,0.9,15
AXA Salud,Instagram,52000,1.5,18
AXA Salud,LinkedIn,88000,1.8,20
Quirónsalud,Instagram,425000,2.1,40
HM Hospitales,Instagram,88000,1.6,28
Vithas,Instagram,62000,1.4,22
