marca,especialidad,cobertura
Sanitas,Cardiología,3
Sanitas,Oncología,2
Sanitas,Traumatología,3
Sanitas,Neurología,2
Sanitas,Pediatría,3
Sanitas,Ginecología,3
Sanitas,Urología,3
Sanitas,Digestivo,3
Sanitas,Oftalmología,3
Sanitas,Dermatología,3
Sanitas,Psiquiatría,2
Sanitas,Endocrinología,2
Sanitas,Neumología,2
Sanitas,Reumatología,2
Sanitas,Cirugía Plástica,1
Quirónsalud,Cardiología,3
Quirónsalud,Oncología,3
Quirónsalud,Traumatología,3
Quirónsalud,Neurología,3
Quirónsalud,Pediatría,3
Quirónsalud,Ginecología,3
Quirónsalud,Urología,3
Quirónsalud,Digestivo,3
Quirónsalud,Oftalmología,3
Quirónsalud,Dermatología,3
Quirónsalud,Psiquiatría,3
Quirónsalud,Endocrinología,3
Quirónsalud,Neumología,3
Quirónsalud,Reumatología,3
Quirónsalud,Cirugía Plástica,3
HM Hospitales,Cardiología,3
HM Hospitales,Oncología,3
HM Hospitales,Traumatología,3
HM Hospitales,Neurología,3
HM Hospitales,Pediatría,2
HM Hospitales,Ginecología,3
HM Hospitales,Urología,3
HM Hospitales,Digestivo,3
HM Hospitales,Oftalmología,3
HM Hospitales,Dermatología,2
HM Hospitales,Psiquiatría,3
HM Hospitales,Endocrinología,3
HM Hospitales,Neumología,3
HM Hospitales,Reumatología,2
HM Hospitales,Cirugía Plástica,2
Vithas,Cardiología,3
Vithas,Oncología,2
Vithas,Traumatología,3
Vithas,Neurología,2
Vithas,Pediatría,3
Vithas,Ginecología,3
Vithas,Urología,2
Vithas,Digestivo,3
Vithas,Oftalmología,2
Vithas,Dermatología,2
Vithas,Psiquiatría,1
Vithas,Endocrinología,2
Vithas,Neumología,2
Vithas,Reumatología,2
Vithas,Cirugía Plástica,1
IMQ,Cardiología,3
IMQ,Oncología,2
IMQ,Traumatología,3
IMQ,Neurología,2
IMQ,Pediatría,2
IMQ,Ginecología,3
IMQ,Urología,2
IMQ,Digestivo,3
IMQ,Oftalmología,2
IMQ,Dermatología,2
IMQ,Psiquiatría,2
IMQ,Endocrinología,1
IMQ,Neumología,2
IMQ,Reumatología,1
IMQ,Cirugía Plástica,1
