semana,seguro salud privado,Sanitas,Adeslas,DKV,Asisa,seguro médico precio
2025-09-07,71,57,49,28,53,62
2025-09-14,67,47,53,29,48,55
2025-09-21,76,50,50,34,27,59
2025-09-28,68,57,45,43,47,67
2025-10-05,62,52,41,34,31,43
2025-10-12,56,46,45,32,25,40
2025-10-19,71,51,43,29,42,55
2025-10-26,63,52,45,30,35,51
2025-11-02,52,38,42,15,32,39
2025-11-09,53,36,44,9,33,40
2025-11-16,62,35,41,33,26,52
2025-11-23,55,40,42,27,23,39
2025-11-30,51,38,40,26,35,39
2025-12-07,50,29,54,23,30,36
2025-12-14,54,41,40,28,41,39
2025-12-21,48,32,51,28,27,45
2025-12-28,50,43,39,20,31,43
2026-01-04,68,53,61,46,46,64
2026-01-11,68,48,60,38,34,58
2026-01-18,69,49,65,39,51,61
2026-01-25,70,47,57,37,34,56
2026-02-01,53,40,44,18,30,43
2026-02-08,37,35,48,11,28,54
2026-02-15,50,38,34,31,27,45
2026-02-22,63,41,36,18,30,41
2026-03-01,50,45,41,39,37,47
2026-03-08,58,34,43,36,49,57
2026-03-15,62,43,44,42,34,65
2026-03-22,71,35,46,25,35,52
2026-03-29,80,39,51,33,35,53
2026-04-05,48,38,45,23,31,53
2026-04-12,60,38,34,18,26,46
2026-04-19,52,32,34,12,26,36
2026-04-26,48,35,33,24,32,41
2026-05-03,52,41,37,17,35,50
2026-05-10,58,43,30,30,30,51
2026-05-17,57,38,40,24,26,50
2026-05-24,45,34,54,18,26,39
2026-05-31,57,33,40,27,23,49
2026-06-07,59,44,42,41,34,46
2026-06-14,49,37,50,32,36,49
2026-06-21,47,40,34,13,29,48
2026-06-28,60,40,45,16,27,35
2026-07-05,42,42,37,27,34,41
2026-07-12,58,34,30,22,25,42
2026-07-19,66,28,44,16,33,46
2026-07-26,57,32,37,27,38,47
2026-08-02,49,40,56,22,36,40
2026-08-09,54,41,44,17,23,50
2026-08-16,62,47,52,22,26,53
2026-08-23,59,32,35,24,26,44
2026-08-30,61,42,49,10,29,49
